 TESTING TRANSACCU TYPE 362541
 Hirata Reference =    7.568472     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456     17.81712     0.42479    17.81712     0.42479
       2 Loop 123465     17.64110     0.42902    17.64110     0.42902
       3 Loop 123546     18.80518     0.40247    17.64110     0.42902
       4 Loop 123645     15.40496     0.49130    15.40496     0.49130
       5 Loop 123564     13.08882     0.57824    13.08882     0.57824
       6 Loop 123654     12.82480     0.59014    12.82480     0.59014
       7 Loop 124356     17.88512     0.42317    12.82480     0.59014
       8 Loop 124365     17.66109     0.42854    12.82480     0.59014
       9 Loop 125346     19.15320     0.39515    12.82480     0.59014
      10 Loop 126345     16.55704     0.45712    12.82480     0.59014
      11 Loop 125364     13.20883     0.57299    12.82480     0.59014
      12 Loop 126354     13.71686     0.55176    12.82480     0.59014
      13 Loop 124536     20.95731     0.36114    12.82480     0.59014
      14 Loop 124635     18.02113     0.41998    12.82480     0.59014
      15 Loop 125436     21.14532     0.35793    12.82480     0.59014
      16 Loop 126435     18.86917     0.40110    12.82480     0.59014
      17 Loop 125634     13.48083     0.56142    12.82480     0.59014
      18 Loop 126534     13.90485     0.54430    12.82480     0.59014
      19 Loop 124563     21.44135     0.35298    12.82480     0.59014
      20 Loop 124653     18.72919     0.40410    12.82480     0.59014
      21 Loop 125463     21.69736     0.34882    12.82480     0.59014
      22 Loop 126453     20.92932     0.36162    12.82480     0.59014
      23 Loop 125643     19.67725     0.38463    12.82480     0.59014
      24 Loop 126543     21.51334     0.35180    12.82480     0.59014
      25 Loop 132456     17.65710     0.42864    12.82480     0.59014
      26 Loop 132465     17.68512     0.42796    12.82480     0.59014
      27 Loop 132546     18.76520     0.40332    12.82480     0.59014
      28 Loop 132645     15.51297     0.48788    12.82480     0.59014
      29 Loop 132564     12.98483     0.58287    12.82480     0.59014
      30 Loop 132654     12.87677     0.58776    12.82480     0.59014
      31 Loop 142356     18.14514     0.41711    12.82480     0.59014
      32 Loop 142365     17.62506     0.42942    12.82480     0.59014
      33 Loop 152346     20.76526     0.36448    12.82480     0.59014
      34 Loop 162345     18.66119     0.40557    12.82480     0.59014
      35 Loop 152364     13.90887     0.54415    12.82480     0.59014
      36 Loop 162354     15.66895     0.48302    12.82480     0.59014
      37 Loop 142536     20.83728     0.36322    12.82480     0.59014
      38 Loop 142635     18.02509     0.41989    12.82480     0.59014
      39 Loop 152436     22.06940     0.34294    12.82480     0.59014
      40 Loop 162435     20.87732     0.36252    12.82480     0.59014
      41 Loop 152634     13.87286     0.54556    12.82480     0.59014
      42 Loop 162534     15.91296     0.47562    12.82480     0.59014
      43 Loop 142563     21.39331     0.35378    12.82480     0.59014
      44 Loop 142653     18.90924     0.40025    12.82480     0.59014
      45 Loop 152463     22.19336     0.34102    12.82480     0.59014
      46 Loop 162453     28.75775     0.26318    12.82480     0.59014
      47 Loop 152643     20.45331     0.37004    12.82480     0.59014
      48 Loop 162543     28.79376     0.26285    12.82480     0.59014
      49 Loop 134256     17.76111     0.42613    12.82480     0.59014
      50 Loop 134265     17.68109     0.42805    12.82480     0.59014
      51 Loop 135246     19.04517     0.39740    12.82480     0.59014
      52 Loop 136245     16.53308     0.45778    12.82480     0.59014
      53 Loop 135264     13.18884     0.57385    12.82480     0.59014
      54 Loop 136254     13.64087     0.55484    12.82480     0.59014
      55 Loop 143256     17.93713     0.42194    12.82480     0.59014
      56 Loop 143265     17.68506     0.42796    12.82480     0.59014
      57 Loop 153246     20.48120     0.36953    12.82480     0.59014
      58 Loop 163245     18.61719     0.40653    12.82480     0.59014
      59 Loop 153264     13.63684     0.55500    12.82480     0.59014
      60 Loop 163254     15.63696     0.48401    12.82480     0.59014
      61 Loop 145236     21.60535     0.35031    12.82480     0.59014
      62 Loop 146235     19.58118     0.38652    12.82480     0.59014
      63 Loop 154236     22.21741     0.34066    12.82480     0.59014
      64 Loop 164235     21.18542     0.35725    12.82480     0.59014
      65 Loop 156234     16.50903     0.45844    12.82480     0.59014
      66 Loop 165234     16.32507     0.46361    12.82480     0.59014
      67 Loop 145263     22.00940     0.34387    12.82480     0.59014
      68 Loop 146253     23.04944     0.32836    12.82480     0.59014
      69 Loop 154263     22.24146     0.34029    12.82480     0.59014
      70 Loop 164253     28.40979     0.26640    12.82480     0.59014
      71 Loop 156243     27.01367     0.28017    12.82480     0.59014
      72 Loop 165243     26.85376     0.28184    12.82480     0.59014
      73 Loop 134526     20.19324     0.37480    12.82480     0.59014
      74 Loop 134625     17.98511     0.42082    12.82480     0.59014
      75 Loop 135426     20.50525     0.36910    12.82480     0.59014
      76 Loop 136425     17.05713     0.44371    12.82480     0.59014
      77 Loop 135624     13.56885     0.55778    12.82480     0.59014
      78 Loop 136524     13.89282     0.54478    12.82480     0.59014
      79 Loop 143526     20.31726     0.37251    12.82480     0.59014
      80 Loop 143625     18.08508     0.41849    12.82480     0.59014
      81 Loop 153426     21.61340     0.35017    12.82480     0.59014
      82 Loop 163425     19.55725     0.38699    12.82480     0.59014
      83 Loop 153624     14.12085     0.53598    12.82480     0.59014
      84 Loop 163524     16.37305     0.46225    12.82480     0.59014
      85 Loop 145326     21.32141     0.35497    12.82480     0.59014
      86 Loop 146325     19.84119     0.38145    12.82480     0.59014
      87 Loop 154326     21.98938     0.34419    12.82480     0.59014
      88 Loop 164325     21.36938     0.35417    12.82480     0.59014
      89 Loop 156324     16.33704     0.46327    12.82480     0.59014
      90 Loop 165324     16.39709     0.46157    12.82480     0.59014
      91 Loop 145623     22.90540     0.33042    12.82480     0.59014
      92 Loop 146523     23.00146     0.32904    12.82480     0.59014
      93 Loop 154623     23.47351     0.32243    12.82480     0.59014
      94 Loop 164523     26.96960     0.28063    12.82480     0.59014
      95 Loop 156423     27.55774     0.27464    12.82480     0.59014
      96 Loop 165423     27.15771     0.27869    12.82480     0.59014
      97 Loop 134562     22.56140     0.33546    12.82480     0.59014
      98 Loop 134652     19.17322     0.39474    12.82480     0.59014
      99 Loop 135462     22.01343     0.34381    12.82480     0.59014
     100 Loop 136452     19.94531     0.37946    12.82480     0.59014
     101 Loop 135642     19.27722     0.39261    12.82480     0.59014
     102 Loop 136542     20.17322     0.37517    12.82480     0.59014
     103 Loop 143562     21.48145     0.35233    12.82480     0.59014
     104 Loop 143652     18.55310     0.40794    12.82480     0.59014
     105 Loop 153462     21.97742     0.34437    12.82480     0.59014
     106 Loop 163452     23.49353     0.32215    12.82480     0.59014
     107 Loop 153642     19.44507     0.38922    12.82480     0.59014
     108 Loop 163542     23.36963     0.32386    12.82480     0.59014
     109 Loop 145362     21.06934     0.35922    12.82480     0.59014
     110 Loop 146352     21.02124     0.36004    12.82480     0.59014
     111 Loop 154362     21.30933     0.35517    12.82480     0.59014
     112 Loop 164352     23.86157     0.31718    12.82480     0.59014
     113 Loop 156342     23.40527     0.32337    12.82480     0.59014
     114 Loop 165342     23.37354     0.32381    12.82480     0.59014
     115 Loop 145632     23.50537     0.32199    12.82480     0.59014
     116 Loop 146532     23.40137     0.32342    12.82480     0.59014
     117 Loop 154632     23.82153     0.31772    12.82480     0.59014
     118 Loop 164532     26.61768     0.28434    12.82480     0.59014
     119 Loop 156432     26.54565     0.28511    12.82480     0.59014
     120 Loop 165432     26.66577     0.28383    12.82480     0.59014
     121 Loop 213456     16.23291     0.46624    12.82480     0.59014
     122 Loop 213465     15.89697     0.47610    12.82480     0.59014
     123 Loop 213546     16.92114     0.44728    12.82480     0.59014
     124 Loop 213645     14.26489     0.53057    12.82480     0.59014
     125 Loop 213564     11.84863     0.63876    11.84863     0.63876
     126 Loop 213654     11.63281     0.65061    11.63281     0.65061
     127 Loop 214356     16.20508     0.46704    11.63281     0.65061
     128 Loop 214365     15.95288     0.47443    11.63281     0.65061
     129 Loop 215346     17.37305     0.43564    11.63281     0.65061
     130 Loop 216345     15.59692     0.48525    11.63281     0.65061
     131 Loop 215364     12.13672     0.62360    11.63281     0.65061
     132 Loop 216354     12.76465     0.59292    11.63281     0.65061
     133 Loop 214536     19.25317     0.39310    11.63281     0.65061
     134 Loop 214635     16.50903     0.45844    11.63281     0.65061
     135 Loop 215436     19.57324     0.38667    11.63281     0.65061
     136 Loop 216435     17.54126     0.43147    11.63281     0.65061
     137 Loop 215634     12.40479     0.61013    11.63281     0.65061
     138 Loop 216534     12.92065     0.58577    11.63281     0.65061
     139 Loop 214563     20.05713     0.37735    11.63281     0.65061
     140 Loop 214653     16.98120     0.44570    11.63281     0.65061
     141 Loop 215463     20.32910     0.37230    11.63281     0.65061
     142 Loop 216453     19.63330     0.38549    11.63281     0.65061
     143 Loop 215643     17.83716     0.42431    11.63281     0.65061
     144 Loop 216543     19.98145     0.37878    11.63281     0.65061
     145 Loop 312456     16.02490     0.47229    11.63281     0.65061
     146 Loop 312465     15.86914     0.47693    11.63281     0.65061
     147 Loop 312546     16.90112     0.44781    11.63281     0.65061
     148 Loop 312645     14.20483     0.53281    11.63281     0.65061
     149 Loop 312564     11.86890     0.63767    11.63281     0.65061
     150 Loop 312654     11.54468     0.65558    11.54468     0.65558
     151 Loop 412356     18.02905     0.41979    11.54468     0.65558
     152 Loop 412365     17.75317     0.42632    11.54468     0.65558
     153 Loop 512346     20.28906     0.37303    11.54468     0.65558
     154 Loop 612345     17.92505     0.42223    11.54468     0.65558
     155 Loop 512364     13.64062     0.55485    11.54468     0.65558
     156 Loop 612354     15.06909     0.50225    11.54468     0.65558
     157 Loop 412536     21.04126     0.35970    11.54468     0.65558
     158 Loop 412635     18.02905     0.41979    11.54468     0.65558
     159 Loop 512436     22.08936     0.34263    11.54468     0.65558
     160 Loop 612435     20.16138     0.37539    11.54468     0.65558
     161 Loop 512634     13.85669     0.54620    11.54468     0.65558
     162 Loop 612534     15.28076     0.49529    11.54468     0.65558
     163 Loop 412563     21.48145     0.35233    11.54468     0.65558
     164 Loop 412653     18.99731     0.39840    11.54468     0.65558
     165 Loop 512463     22.19336     0.34102    11.54468     0.65558
     166 Loop 612453     28.21753     0.26822    11.54468     0.65558
     167 Loop 512643     20.35327     0.37186    11.54468     0.65558
     168 Loop 612543     28.01758     0.27013    11.54468     0.65558
     169 Loop 314256     16.23706     0.46612    11.54468     0.65558
     170 Loop 314265     16.02490     0.47229    11.54468     0.65558
     171 Loop 315246     17.37720     0.43554    11.54468     0.65558
     172 Loop 316245     15.66504     0.48314    11.54468     0.65558
     173 Loop 315264     11.99658     0.63089    11.54468     0.65558
     174 Loop 316254     12.73291     0.59440    11.54468     0.65558
     175 Loop 413256     17.97314     0.42110    11.54468     0.65558
     176 Loop 413265     17.36499     0.43585    11.54468     0.65558
     177 Loop 513246     20.30542     0.37273    11.54468     0.65558
     178 Loop 613245     17.86890     0.42356    11.54468     0.65558
     179 Loop 513264     13.63281     0.55517    11.54468     0.65558
     180 Loop 613254     15.01709     0.50399    11.54468     0.65558
     181 Loop 415236     21.72144     0.34843    11.54468     0.65558
     182 Loop 416235     19.66528     0.38486    11.54468     0.65558
     183 Loop 514236     22.18140     0.34121    11.54468     0.65558
     184 Loop 614235     20.39331     0.37113    11.54468     0.65558
     185 Loop 516234     16.24902     0.46578    11.54468     0.65558
     186 Loop 615234     15.54907     0.48675    11.54468     0.65558
     187 Loop 415263     22.08545     0.34269    11.54468     0.65558
     188 Loop 416253     23.07324     0.32802    11.54468     0.65558
     189 Loop 514263     22.36548     0.33840    11.54468     0.65558
     190 Loop 614253     27.86572     0.27161    11.54468     0.65558
     191 Loop 516243     26.83374     0.28205    11.54468     0.65558
     192 Loop 615243     25.66553     0.29489    11.54468     0.65558
     193 Loop 314526     18.44922     0.41023    11.54468     0.65558
     194 Loop 314625     16.50098     0.45867    11.54468     0.65558
     195 Loop 315426     18.79712     0.40264    11.54468     0.65558
     196 Loop 316425     16.16504     0.46820    11.54468     0.65558
     197 Loop 315624     12.47681     0.60660    11.54468     0.65558
     198 Loop 316524     12.95288     0.58431    11.54468     0.65558
     199 Loop 413526     20.30542     0.37273    11.54468     0.65558
     200 Loop 413625     17.91699     0.42242    11.54468     0.65558
     201 Loop 513426     21.47729     0.35239    11.54468     0.65558
     202 Loop 613425     19.01733     0.39798    11.54468     0.65558
     203 Loop 513624     13.88477     0.54509    11.54468     0.65558
     204 Loop 613524     15.76099     0.48020    11.54468     0.65558
     205 Loop 415326     21.45752     0.35272    11.54468     0.65558
     206 Loop 416325     19.64917     0.38518    11.54468     0.65558
     207 Loop 514326     21.75732     0.34786    11.54468     0.65558
     208 Loop 614325     20.40942     0.37083    11.54468     0.65558
     209 Loop 516324     16.22095     0.46659    11.54468     0.65558
     210 Loop 615324     15.58911     0.48550    11.54468     0.65558
     211 Loop 415623     22.98535     0.32927    11.54468     0.65558
     212 Loop 416523     23.15747     0.32683    11.54468     0.65558
     213 Loop 514623     23.39355     0.32353    11.54468     0.65558
     214 Loop 614523     25.80176     0.29333    11.54468     0.65558
     215 Loop 516423     26.68164     0.28366    11.54468     0.65558
     216 Loop 615423     25.53320     0.29642    11.54468     0.65558
     217 Loop 314562     19.59326     0.38628    11.54468     0.65558
     218 Loop 314652     17.08496     0.44299    11.54468     0.65558
     219 Loop 315462     19.99316     0.37855    11.54468     0.65558
     220 Loop 316452     18.44922     0.41023    11.54468     0.65558
     221 Loop 315642     17.44873     0.43375    11.54468     0.65558
     222 Loop 316542     18.67676     0.40523    11.54468     0.65558
     223 Loop 413562     21.71338     0.34856    11.54468     0.65558
     224 Loop 413652     18.62549     0.40635    11.54468     0.65558
     225 Loop 513462     22.40967     0.33773    11.54468     0.65558
     226 Loop 613452     22.84131     0.33135    11.54468     0.65558
     227 Loop 513642     19.15332     0.39515    11.54468     0.65558
     228 Loop 613542     22.15771     0.34157    11.54468     0.65558
     229 Loop 415362     21.07715     0.35908    11.54468     0.65558
     230 Loop 416352     20.85303     0.36294    11.54468     0.65558
     231 Loop 514362     21.20557     0.35691    11.54468     0.65558
     232 Loop 614352     22.79736     0.33199    11.54468     0.65558
     233 Loop 516342     23.14551     0.32700    11.54468     0.65558
     234 Loop 615342     22.20117     0.34090    11.54468     0.65558
     235 Loop 415632     23.38135     0.32370    11.54468     0.65558
     236 Loop 416532     23.27393     0.32519    11.54468     0.65558
     237 Loop 514632     23.60938     0.32057    11.54468     0.65558
     238 Loop 614532     25.56152     0.29609    11.54468     0.65558
     239 Loop 516432     26.40967     0.28658    11.54468     0.65558
     240 Loop 615432     25.30127     0.29913    11.54468     0.65558
     241 Loop 231456      6.01611     1.25803     6.01611     1.25803
     242 Loop 231465      3.87207     1.95463     3.87207     1.95463
     243 Loop 231546      6.08008     1.24480     3.87207     1.95463
     244 Loop 231645      3.54834     2.13296     3.54834     2.13296
     245 Loop 231564      2.85205     2.65369     2.85205     2.65369
     246 Loop 231654      3.03223     2.49601     2.85205     2.65369
     247 Loop 241356     16.03711     0.47193     2.85205     2.65369
     248 Loop 241365     15.66113     0.48326     2.85205     2.65369
     249 Loop 251346      6.73242     1.12418     2.85205     2.65369
     250 Loop 261345      7.40039     1.02271     2.85205     2.65369
     251 Loop 251364      3.70850     2.04085     2.85205     2.65369
     252 Loop 261354      7.75244     0.97627     2.85205     2.65369
     253 Loop 241536     18.94482     0.39950     2.85205     2.65369
     254 Loop 241635     16.12109     0.46948     2.85205     2.65369
     255 Loop 251436      7.70459     0.98233     2.85205     2.65369
     256 Loop 261435      8.04834     0.94038     2.85205     2.65369
     257 Loop 251634      4.30029     1.75999     2.85205     2.65369
     258 Loop 261534      7.74854     0.97676     2.85205     2.65369
     259 Loop 241563     19.79346     0.38237     2.85205     2.65369
     260 Loop 241653     16.75342     0.45176     2.85205     2.65369
     261 Loop 251463      8.81250     0.85883     2.85205     2.65369
     262 Loop 261453     11.54443     0.65559     2.85205     2.65369
     263 Loop 251643      8.75635     0.86434     2.85205     2.65369
     264 Loop 261543     11.36426     0.66599     2.85205     2.65369
     265 Loop 321456      6.03613     1.25386     2.85205     2.65369
     266 Loop 321465      3.86816     1.95661     2.85205     2.65369
     267 Loop 321546      6.03662     1.25376     2.85205     2.65369
     268 Loop 321645      3.56055     2.12565     2.85205     2.65369
     269 Loop 321564      2.84424     2.66098     2.84424     2.66098
     270 Loop 321654      3.03223     2.49601     2.84424     2.66098
     271 Loop 421356     16.23291     0.46624     2.84424     2.66098
     272 Loop 421365     15.85303     0.47741     2.84424     2.66098
     273 Loop 521346      6.97217     1.08553     2.84424     2.66098
     274 Loop 621345      7.72070     0.98028     2.84424     2.66098
     275 Loop 521364      4.00049     1.89189     2.84424     2.66098
     276 Loop 621354      8.12451     0.93156     2.84424     2.66098
     277 Loop 421536     19.05322     0.39723     2.84424     2.66098
     278 Loop 421635     16.33691     0.46327     2.84424     2.66098
     279 Loop 521436      7.78857     0.97174     2.84424     2.66098
     280 Loop 621435      8.43262     0.89752     2.84424     2.66098
     281 Loop 521634      4.50830     1.67879     2.84424     2.66098
     282 Loop 621534      8.06445     0.93850     2.84424     2.66098
     283 Loop 421563     19.87354     0.38083     2.84424     2.66098
     284 Loop 421653     17.16895     0.44082     2.84424     2.66098
     285 Loop 521463      8.96436     0.84429     2.84424     2.66098
     286 Loop 621453     12.13672     0.62360     2.84424     2.66098
     287 Loop 521643      8.80859     0.85921     2.84424     2.66098
     288 Loop 621543     11.94482     0.63362     2.84424     2.66098
     289 Loop 341256     15.96924     0.47394     2.84424     2.66098
     290 Loop 341265     15.71289     0.48167     2.84424     2.66098
     291 Loop 351246      6.74854     1.12150     2.84424     2.66098
     292 Loop 361245      7.47656     1.01229     2.84424     2.66098
     293 Loop 351264      3.68408     2.05437     2.84424     2.66098
     294 Loop 361254      7.82422     0.96731     2.84424     2.66098
     295 Loop 431256     16.12109     0.46948     2.84424     2.66098
     296 Loop 431265     15.85303     0.47741     2.84424     2.66098
     297 Loop 531246      6.96484     1.08667     2.84424     2.66098
     298 Loop 631245      7.82080     0.96774     2.84424     2.66098
     299 Loop 531264      3.97998     1.90164     2.84424     2.66098
     300 Loop 631254      8.22461     0.92022     2.84424     2.66098
     301 Loop 451236     22.08154     0.34275     2.84424     2.66098
     302 Loop 461235     19.85352     0.38122     2.84424     2.66098
     303 Loop 541236     22.11377     0.34225     2.84424     2.66098
     304 Loop 641235     19.83301     0.38161     2.84424     2.66098
     305 Loop 561234      9.02441     0.83867     2.84424     2.66098
     306 Loop 651234      8.94482     0.84613     2.84424     2.66098
     307 Loop 451263     22.08154     0.34275     2.84424     2.66098
     308 Loop 461253     26.88965     0.28146     2.84424     2.66098
     309 Loop 541263     22.14941     0.34170     2.84424     2.66098
     310 Loop 641253     26.94580     0.28088     2.84424     2.66098
     311 Loop 561243     11.55664     0.65490     2.84424     2.66098
     312 Loop 651243     11.60059     0.65242     2.84424     2.66098
     313 Loop 341526     18.11719     0.41775     2.84424     2.66098
     314 Loop 341625     16.16064     0.46833     2.84424     2.66098
     315 Loop 351426      7.22461     1.04760     2.84424     2.66098
     316 Loop 361425      8.00439     0.94554     2.84424     2.66098
     317 Loop 351624      4.55225     1.66258     2.84424     2.66098
     318 Loop 361524      8.59668     0.88039     2.84424     2.66098
     319 Loop 431526     18.30908     0.41337     2.84424     2.66098
     320 Loop 431625     16.35693     0.46271     2.84424     2.66098
     321 Loop 531426      7.44043     1.01721     2.84424     2.66098
     322 Loop 631425      8.34863     0.90655     2.84424     2.66098
     323 Loop 531624      4.76074     1.58977     2.84424     2.66098
     324 Loop 631524      9.05273     0.83604     2.84424     2.66098
     325 Loop 451326     21.62939     0.34992     2.84424     2.66098
     326 Loop 461325     19.77295     0.38277     2.84424     2.66098
     327 Loop 541326     21.65723     0.34947     2.84424     2.66098
     328 Loop 641325     19.77686     0.38269     2.84424     2.66098
     329 Loop 561324      9.00049     0.84090     2.84424     2.66098
     330 Loop 651324      8.90039     0.85035     2.84424     2.66098
     331 Loop 451623     23.10547     0.32756     2.84424     2.66098
     332 Loop 461523     24.89355     0.30403     2.84424     2.66098
     333 Loop 541623     23.12549     0.32728     2.84424     2.66098
     334 Loop 641523     24.90527     0.30389     2.84424     2.66098
     335 Loop 561423     11.95264     0.63321     2.84424     2.66098
     336 Loop 651423     11.84033     0.63921     2.84424     2.66098
     337 Loop 341562     21.19727     0.35705     2.84424     2.66098
     338 Loop 341652     16.86523     0.44876     2.84424     2.66098
     339 Loop 351462      7.00488     1.08046     2.84424     2.66098
     340 Loop 361452     10.20068     0.74196     2.84424     2.66098
     341 Loop 351642      6.31641     1.19822     2.84424     2.66098
     342 Loop 361542      9.99268     0.75740     2.84424     2.66098
     343 Loop 431562     19.42480     0.38963     2.84424     2.66098
     344 Loop 431652     16.97314     0.44591     2.84424     2.66098
     345 Loop 531462      7.22070     1.04816     2.84424     2.66098
     346 Loop 631452     10.90039     0.69433     2.84424     2.66098
     347 Loop 531642      6.44043     1.17515     2.84424     2.66098
     348 Loop 631542     10.57227     0.71588     2.84424     2.66098
     349 Loop 451362     21.07324     0.35915     2.84424     2.66098
     350 Loop 461352     22.40576     0.33779     2.84424     2.66098
     351 Loop 541362     21.08545     0.35894     2.84424     2.66098
     352 Loop 641352     22.37744     0.33822     2.84424     2.66098
     353 Loop 561342     10.22070     0.74050     2.84424     2.66098
     354 Loop 651342     10.13672     0.74664     2.84424     2.66098
     355 Loop 451632     23.52539     0.32172     2.84424     2.66098
     356 Loop 461532     24.42139     0.30991     2.84424     2.66098
     357 Loop 541632     23.52148     0.32177     2.84424     2.66098
     358 Loop 641532     24.62158     0.30739     2.84424     2.66098
     359 Loop 561432     10.62891     0.71206     2.84424     2.66098
     360 Loop 651432     10.62500     0.71233     2.84424     2.66098
     361 Loop 234156      5.89258     1.28441     2.84424     2.66098
     362 Loop 234165      3.85205     1.96479     2.84424     2.66098
     363 Loop 235146      5.88037     1.28707     2.84424     2.66098
     364 Loop 236145      3.32422     2.27677     2.84424     2.66098
     365 Loop 235164      2.79199     2.71078     2.79199     2.71078
     366 Loop 236154      3.03223     2.49601     2.79199     2.71078
     367 Loop 243156      6.75244     1.12085     2.79199     2.71078
     368 Loop 243165      4.73633     1.59796     2.79199     2.71078
     369 Loop 253146      6.23242     1.21437     2.79199     2.71078
     370 Loop 263145      6.31201     1.19906     2.79199     2.71078
     371 Loop 253164      3.37207     2.24446     2.79199     2.71078
     372 Loop 263154      6.97217     1.08553     2.79199     2.71078
     373 Loop 245136      7.69629     0.98339     2.79199     2.71078
     374 Loop 246135      5.13623     1.47355     2.79199     2.71078
     375 Loop 254136      7.03662     1.07558     2.79199     2.71078
     376 Loop 264135      7.20459     1.05051     2.79199     2.71078
     377 Loop 256134      7.91650     0.95604     2.79199     2.71078
     378 Loop 265134      7.93213     0.95415     2.79199     2.71078
     379 Loop 245163      9.27637     0.81589     2.79199     2.71078
     380 Loop 246153      9.06445     0.83496     2.79199     2.71078
     381 Loop 254163      8.65234     0.87473     2.79199     2.71078
     382 Loop 264153     10.11279     0.74841     2.79199     2.71078
     383 Loop 256143     10.32861     0.73277     2.79199     2.71078
     384 Loop 265143     10.27295     0.73674     2.79199     2.71078
     385 Loop 324156      5.88037     1.28707     2.79199     2.71078
     386 Loop 324165      3.85596     1.96280     2.79199     2.71078
     387 Loop 325146      5.88037     1.28707     2.79199     2.71078
     388 Loop 326145      3.32031     2.27945     2.79199     2.71078
     389 Loop 325164      2.79590     2.70699     2.79199     2.71078
     390 Loop 326154      3.03662     2.49240     2.79199     2.71078
     391 Loop 423156      6.98828     1.08302     2.79199     2.71078
     392 Loop 423165      4.86816     1.55469     2.79199     2.71078
     393 Loop 523146      6.40479     1.18169     2.79199     2.71078
     394 Loop 623145      6.68457     1.13223     2.79199     2.71078
     395 Loop 523164      3.66016     2.06780     2.79199     2.71078
     396 Loop 623154      7.35645     1.02882     2.79199     2.71078
     397 Loop 425136      7.87646     0.96090     2.79199     2.71078
     398 Loop 426135      5.24023     1.44430     2.79199     2.71078
     399 Loop 524136      7.23242     1.04646     2.79199     2.71078
     400 Loop 624135      7.72021     0.98034     2.79199     2.71078
     401 Loop 526134      8.04053     0.94129     2.79199     2.71078
     402 Loop 625134      8.46094     0.89452     2.79199     2.71078
     403 Loop 425163      9.45264     0.80067     2.79199     2.71078
     404 Loop 426153      9.17236     0.82514     2.79199     2.71078
     405 Loop 524163      8.82031     0.85807     2.79199     2.71078
     406 Loop 624153     10.67236     0.70917     2.79199     2.71078
     407 Loop 526143     10.42041     0.72631     2.79199     2.71078
     408 Loop 625143     10.65674     0.71021     2.79199     2.71078
     409 Loop 342156      6.73242     1.12418     2.79199     2.71078
     410 Loop 342165      4.73193     1.59945     2.79199     2.71078
     411 Loop 352146      6.23633     1.21361     2.79199     2.71078
     412 Loop 362145      6.40039     1.18250     2.79199     2.71078
     413 Loop 352164      3.43994     2.20017     2.79199     2.71078
     414 Loop 362154      7.06055     1.07194     2.79199     2.71078
     415 Loop 432156      6.98438     1.08363     2.79199     2.71078
     416 Loop 432165      4.88037     1.55080     2.79199     2.71078
     417 Loop 532146      6.42432     1.17810     2.79199     2.71078
     418 Loop 632145      6.76416     1.11891     2.79199     2.71078
     419 Loop 532164      3.68018     2.05655     2.79199     2.71078
     420 Loop 632154      7.52051     1.00638     2.79199     2.71078
     421 Loop 452136      8.45215     0.89545     2.79199     2.71078
     422 Loop 462135      8.70850     0.86909     2.79199     2.71078
     423 Loop 542136      8.38428     0.90270     2.79199     2.71078
     424 Loop 642135      8.84082     0.85608     2.79199     2.71078
     425 Loop 562134      8.58887     0.88120     2.79199     2.71078
     426 Loop 652134      8.63672     0.87631     2.79199     2.71078
     427 Loop 452163      9.74854     0.77637     2.79199     2.71078
     428 Loop 462153     11.94873     0.63341     2.79199     2.71078
     429 Loop 542163      9.74854     0.77637     2.79199     2.71078
     430 Loop 642153     12.08447     0.62630     2.79199     2.71078
     431 Loop 562143     10.84863     0.69764     2.79199     2.71078
     432 Loop 652143     10.81250     0.69997     2.79199     2.71078
     433 Loop 345126      7.49658     1.00959     2.79199     2.71078
     434 Loop 346125      4.99219     1.51606     2.79199     2.71078
     435 Loop 354126      6.88428     1.09939     2.79199     2.71078
     436 Loop 364125      7.16797     1.05587     2.79199     2.71078
     437 Loop 356124      7.95654     0.95123     2.79199     2.71078
     438 Loop 365124      7.98096     0.94832     2.79199     2.71078
     439 Loop 435126      7.75244     0.97627     2.79199     2.71078
     440 Loop 436125      5.10449     1.48271     2.79199     2.71078
     441 Loop 534126      7.09229     1.06714     2.79199     2.71078
     442 Loop 634125      7.42871     1.01881     2.79199     2.71078
     443 Loop 536124      8.01270     0.94456     2.79199     2.71078
     444 Loop 635124      8.54443     0.88578     2.79199     2.71078
     445 Loop 453126      8.19238     0.92384     2.79199     2.71078
     446 Loop 463125      8.60449     0.87960     2.79199     2.71078
     447 Loop 543126      8.23633     0.91891     2.79199     2.71078
