 TESTING TRANSACCU TYPE 632154 (best = 321654)
 Hirata Reference =    8.776547     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      8.13651     1.07866     8.13651     1.07866
       2 Loop 123465      3.15220     2.78426     3.15220     2.78426
       3 Loop 123546      7.80049     1.12513     3.15220     2.78426
       4 Loop 123645      2.61216     3.35988     2.61216     3.35988
       5 Loop 123564      2.40015     3.65667     2.40015     3.65667
       6 Loop 123654      2.40815     3.64451     2.40015     3.65667
       7 Loop 124356      8.68854     1.01013     2.40015     3.65667
       8 Loop 124365      3.19620     2.74593     2.40015     3.65667
       9 Loop 125346      8.33652     1.05278     2.40015     3.65667
      10 Loop 126345      5.80836     1.51102     2.40015     3.65667
      11 Loop 125364      2.89618     3.03039     2.40015     3.65667
      12 Loop 126354      6.78043     1.29439     2.40015     3.65667
      13 Loop 124536     10.20064     0.86039     2.40015     3.65667
      14 Loop 124635      3.87624     2.26419     2.40015     3.65667
      15 Loop 125436      9.08856     0.96567     2.40015     3.65667
      16 Loop 126435      6.48041     1.35432     2.40015     3.65667
      17 Loop 125634      6.46841     1.35683     2.40015     3.65667
      18 Loop 126534      6.47240     1.35599     2.40015     3.65667
      19 Loop 124563      7.56448     1.16023     2.40015     3.65667
      20 Loop 124653      6.92843     1.26674     2.40015     3.65667
      21 Loop 125463      7.40445     1.18531     2.40015     3.65667
      22 Loop 126453      8.46452     1.03686     2.40015     3.65667
      23 Loop 125643      8.63254     1.01668     2.40015     3.65667
      24 Loop 126543      8.91656     0.98430     2.40015     3.65667
      25 Loop 132456      7.97250     1.10085     2.40015     3.65667
      26 Loop 132465      2.97218     2.95290     2.40015     3.65667
      27 Loop 132546      7.74448     1.13327     2.40015     3.65667
      28 Loop 132645      2.48015     3.53872     2.40015     3.65667
      29 Loop 132564      2.31615     3.78929     2.31615     3.78929
      30 Loop 132654      2.31615     3.78929     2.31615     3.78929
      31 Loop 142356     19.46922     0.45079     2.31615     3.78929
      32 Loop 142365     13.32083     0.65886     2.31615     3.78929
      33 Loop 152346      9.19656     0.95433     2.31615     3.78929
      34 Loop 162345      6.28839     1.39567     2.31615     3.78929
      35 Loop 152364      4.72031     1.85932     2.31615     3.78929
      36 Loop 162354      7.11244     1.23397     2.31615     3.78929
      37 Loop 142536     20.85332     0.42087     2.31615     3.78929
      38 Loop 142635     13.54486     0.64796     2.31615     3.78929
      39 Loop 152436      9.50858     0.92301     2.31615     3.78929
      40 Loop 162435      7.01645     1.25085     2.31615     3.78929
      41 Loop 152634      7.34848     1.19433     2.31615     3.78929
