 TESTING TRANPOSE TYPE 326514
 Hirata Reference =    2.948184     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      1.08407     2.71956     1.08407     2.71956
       2 Loop 123465      1.35608     2.17404     1.08407     2.71956
       3 Loop 123546      1.48009     1.99189     1.08407     2.71956
       4 Loop 123645      1.33608     2.20659     1.08407     2.71956
       5 Loop 123564      1.57210     1.87532     1.08407     2.71956
       6 Loop 123654      1.76811     1.66742     1.08407     2.71956
       7 Loop 124356      1.55610     1.89460     1.08407     2.71956
       8 Loop 124365      1.84812     1.59524     1.08407     2.71956
       9 Loop 125346      1.39609     2.11175     1.08407     2.71956
      10 Loop 126345      1.57610     1.87056     1.08407     2.71956
      11 Loop 125364      1.44409     2.04155     1.08407     2.71956
      12 Loop 126354      1.52409     1.93439     1.08407     2.71956
      13 Loop 124536      1.46009     2.01918     1.08407     2.71956
      14 Loop 124635      1.90412     1.54832     1.08407     2.71956
      15 Loop 125436      1.49209     1.97587     1.08407     2.71956
      16 Loop 126435      1.82411     1.61623     1.08407     2.71956
      17 Loop 125634      1.40009     2.10571     1.08407     2.71956
      18 Loop 126534      1.45609     2.02473     1.08407     2.71956
      19 Loop 124563      1.92012     1.53542     1.08407     2.71956
      20 Loop 124653      1.67210     1.76316     1.08407     2.71956
      21 Loop 125463      1.72811     1.70602     1.08407     2.71956
      22 Loop 126453      1.91212     1.54184     1.08407     2.71956
      23 Loop 125643      1.72411     1.70998     1.08407     2.71956
      24 Loop 126543      1.96812     1.49797     1.08407     2.71956
      25 Loop 132456      1.12407     2.62278     1.08407     2.71956
      26 Loop 132465      1.41209     2.08782     1.08407     2.71956
      27 Loop 132546      1.45609     2.02473     1.08407     2.71956
      28 Loop 132645      1.40409     2.09972     1.08407     2.71956
      29 Loop 132564      1.45209     2.03031     1.08407     2.71956
      30 Loop 132654      1.62410     1.81527     1.08407     2.71956
      31 Loop 142356      2.08013     1.41731     1.08407     2.71956
      32 Loop 142365      2.53616     1.16246     1.08407     2.71956
      33 Loop 152346      1.95212     1.51025     1.08407     2.71956
      34 Loop 162345      3.52022     0.83750     1.08407     2.71956
      35 Loop 152364      1.65210     1.78450     1.08407     2.71956
      36 Loop 162354      3.42022     0.86199     1.08407     2.71956
      37 Loop 142536      2.36415     1.24704     1.08407     2.71956
      38 Loop 142635      2.61617     1.12691     1.08407     2.71956
      39 Loop 152436      1.75610     1.67882     1.08407     2.71956
      40 Loop 162435      3.85224     0.76532     1.08407     2.71956
      41 Loop 152634      1.49609     1.97059     1.08407     2.71956
      42 Loop 162534      3.16019     0.93291     1.08407     2.71956
      43 Loop 142563      2.51216     1.17356     1.08407     2.71956
      44 Loop 142653      2.48815     1.18489     1.08407     2.71956
      45 Loop 152463      1.86811     1.57816     1.08407     2.71956
      46 Loop 162453      3.81624     0.77254     1.08407     2.71956
      47 Loop 152643      1.82011     1.61978     1.08407     2.71956
      48 Loop 162543      3.69223     0.79848     1.08407     2.71956
      49 Loop 134256      1.43609     2.05293     1.08407     2.71956
      50 Loop 134265      1.90012     1.55158     1.08407     2.71956
      51 Loop 135246      1.41209     2.08781     1.08407     2.71956
      52 Loop 136245      1.54009     1.91429     1.08407     2.71956
      53 Loop 135264      1.44809     2.03591     1.08407     2.71956
      54 Loop 136254      1.52810     1.92931     1.08407     2.71956
      55 Loop 143256      2.21214     1.33273     1.08407     2.71956
      56 Loop 143265      2.58016     1.14264     1.08407     2.71956
      57 Loop 153246      1.93612     1.52273     1.08407     2.71956
      58 Loop 163245      2.82018     1.04539     1.08407     2.71956
      59 Loop 153264      1.30408     2.26074     1.08407     2.71956
      60 Loop 163254      3.00019     0.98267     1.08407     2.71956
      61 Loop 145236      2.57616     1.14441     1.08407     2.71956
      62 Loop 146235      2.88018     1.02361     1.08407     2.71956
      63 Loop 154236      2.14014     1.37757     1.08407     2.71956
      64 Loop 164235      3.73624     0.78908     1.08407     2.71956
      65 Loop 156234      1.54008     1.91430     1.08407     2.71956
      66 Loop 165234      3.45221     0.85400     1.08407     2.71956
      67 Loop 145263      2.79218     1.05587     1.08407     2.71956
      68 Loop 146253      2.71617     1.08542     1.08407     2.71956
      69 Loop 154263      2.14014     1.37757     1.08407     2.71956
      70 Loop 164253      4.11226     0.71693     1.08407     2.71956
      71 Loop 156243      1.99612     1.47695     1.08407     2.71956
      72 Loop 165243      3.84024     0.76771     1.08407     2.71956
      73 Loop 134526      1.60411     1.83789     1.08407     2.71956
      74 Loop 134625      1.78412     1.65246     1.08407     2.71956
      75 Loop 135426      1.74411     1.69037     1.08407     2.71956
      76 Loop 136425      1.68811     1.74644     1.08407     2.71956
      77 Loop 135624      1.42409     2.07023     1.08407     2.71956
      78 Loop 136524      1.45209     2.03031     1.08407     2.71956
      79 Loop 143526      2.50015     1.17920     1.08407     2.71956
      80 Loop 143625      2.45216     1.20228     1.08407     2.71956
      81 Loop 153426      1.93613     1.52272     1.08407     2.71956
      82 Loop 163425      3.60023     0.81889     1.08407     2.71956
      83 Loop 153624      1.30008     2.26770     1.08407     2.71956
      84 Loop 163524      3.10818     0.94852     1.08407     2.71956
      85 Loop 145326      2.51216     1.17356     1.08407     2.71956
      86 Loop 146325      2.90018     1.01655     1.08407     2.71956
      87 Loop 154326      1.98813     1.48289     1.08407     2.71956
      88 Loop 164325      3.80824     0.77416     1.08407     2.71956
      89 Loop 156324      1.48010     1.99188     1.08407     2.71956
      90 Loop 165324      3.34021     0.88263     1.08407     2.71956
      91 Loop 145623      2.91217     1.01237     1.08407     2.71956
      92 Loop 146523      2.99219     0.98529     1.08407     2.71956
      93 Loop 154623      2.54015     1.16064     1.08407     2.71956
      94 Loop 164523      4.08025     0.72255     1.08407     2.71956
      95 Loop 156423      2.21614     1.33032     1.08407     2.71956
      96 Loop 165423      4.00826     0.73553     1.08407     2.71956
      97 Loop 134562      1.93213     1.52587     1.08407     2.71956
      98 Loop 134652      1.69209     1.74233     1.08407     2.71956
      99 Loop 135462      1.90012     1.55158     1.08407     2.71956
     100 Loop 136452      1.69211     1.74231     1.08407     2.71956
     101 Loop 135642      1.46410     2.01365     1.08407     2.71956
     102 Loop 136542      1.54410     1.90932     1.08407     2.71956
     103 Loop 143562      2.56015     1.15157     1.08407     2.71956
     104 Loop 143652      2.59616     1.13559     1.08407     2.71956
     105 Loop 153462      1.88811     1.56145     1.08407     2.71956
     106 Loop 163452      3.90825     0.75435     1.08407     2.71956
     107 Loop 153642      1.53610     1.91926     1.08407     2.71956
     108 Loop 163542      3.56822     0.82623     1.08407     2.71956
     109 Loop 145362      2.81216     1.04837     1.08407     2.71956
     110 Loop 146352      2.50815     1.17544     1.08407     2.71956
     111 Loop 154362      2.20413     1.33757     1.08407     2.71956
     112 Loop 164352      4.14825     0.71070     1.08407     2.71956
     113 Loop 156342      1.69611     1.73821     1.08407     2.71956
     114 Loop 165342      3.80423     0.77498     1.08407     2.71956
     115 Loop 145632      3.13220     0.94125     1.08407     2.71956
     116 Loop 146532      2.97217     0.99193     1.08407     2.71956
     117 Loop 154632      2.72415     1.08224     1.08407     2.71956
     118 Loop 164532      4.38025     0.67306     1.08407     2.71956
     119 Loop 156432      2.23615     1.31842     1.08407     2.71956
     120 Loop 165432      4.12827     0.71415     1.08407     2.71956
     121 Loop 213456      0.94406     3.12287     0.94406     3.12287
     122 Loop 213465      1.30408     2.26074     0.94406     3.12287
     123 Loop 213546      1.06406     2.77070     0.94406     3.12287
     124 Loop 213645      1.23209     2.39284     0.94406     3.12287
     125 Loop 213564      1.12808     2.61345     0.94406     3.12287
     126 Loop 213654      1.05606     2.79168     0.94406     3.12287
     127 Loop 214356      1.34409     2.19345     0.94406     3.12287
     128 Loop 214365      1.67209     1.76317     0.94406     3.12287
     129 Loop 215346      1.04407     2.82375     0.94406     3.12287
     130 Loop 216345      1.32806     2.21991     0.94406     3.12287
     131 Loop 215364      1.16806     2.52400     0.94406     3.12287
     132 Loop 216354      1.12408     2.62274     0.94406     3.12287
     133 Loop 214536      1.44009     2.04722     0.94406     3.12287
     134 Loop 214635      1.73212     1.70207     0.94406     3.12287
     135 Loop 215436      1.40408     2.09972     0.94406     3.12287
     136 Loop 216435      1.76010     1.67501     0.94406     3.12287
     137 Loop 215634      0.98807     2.98379     0.94406     3.12287
     138 Loop 216534      1.14807     2.56795     0.94406     3.12287
     139 Loop 214563      1.79611     1.64143     0.94406     3.12287
     140 Loop 214653      1.59210     1.85176     0.94406     3.12287
     141 Loop 215463      1.77612     1.65990     0.94406     3.12287
     142 Loop 216453      1.82413     1.61622     0.94406     3.12287
     143 Loop 215643      1.56009     1.88975     0.94406     3.12287
     144 Loop 216543      1.77209     1.66367     0.94406     3.12287
     145 Loop 312456      1.09204     2.69970     0.94406     3.12287
     146 Loop 312465      1.32806     2.21991     0.94406     3.12287
     147 Loop 312546      1.14005     2.58602     0.94406     3.12287
     148 Loop 312645      1.28406     2.29599     0.94406     3.12287
     149 Loop 312564      1.06406     2.77070     0.94406     3.12287
     150 Loop 312654      1.10007     2.68000     0.94406     3.12287
     151 Loop 412356      6.32840     0.46587     0.94406     3.12287
     152 Loop 412365      6.30438     0.46764     0.94406     3.12287
     153 Loop 512346      2.17612     1.35479     0.94406     3.12287
     154 Loop 612345      3.74823     0.78655     0.94406     3.12287
     155 Loop 512364      1.18008     2.49828     0.94406     3.12287
     156 Loop 612354      3.60422     0.81798     0.94406     3.12287
     157 Loop 412536      6.23639     0.47274     0.94406     3.12287
     158 Loop 412635      5.89236     0.50034     0.94406     3.12287
     159 Loop 512436      1.95615     1.50714     0.94406     3.12287
     160 Loop 612435      3.92426     0.75127     0.94406     3.12287
     161 Loop 512634      1.12405     2.62281     0.94406     3.12287
     162 Loop 612534      3.39621     0.86808     0.94406     3.12287
     163 Loop 412563      6.22040     0.47395     0.94406     3.12287
     164 Loop 412653      6.23239     0.47304     0.94406     3.12287
