jeff@goldstone:~/code/spaghetty/trunk/python/archive/exe> transpose_632541.x
 TESTING TRANPOSE TYPE 632541
 Hirata Reference =    2.248140     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 632541      3.11220     0.72236     3.11220     0.72236
       2 Loop 632514      3.50022     0.64229     3.11220     0.72236
       3 Loop 632451      3.40021     0.66118     3.11220     0.72236
       4 Loop 632154      3.48422     0.64524     3.11220     0.72236
       5 Loop 632415      3.35221     0.67064     3.11220     0.72236
       6 Loop 632145      3.24420     0.69297     3.11220     0.72236
       7 Loop 635241      3.28020     0.68537     3.11220     0.72236
       8 Loop 635214      3.94825     0.56940     3.11220     0.72236
       9 Loop 634251      3.42422     0.65654     3.11220     0.72236
      10 Loop 631254      3.62423     0.62031     3.11220     0.72236
      11 Loop 634215      3.34821     0.67145     3.11220     0.72236
      12 Loop 631245      3.31221     0.67874     3.11220     0.72236
      13 Loop 635421      3.24420     0.69297     3.11220     0.72236
      14 Loop 635124      3.95225     0.56883     3.11220     0.72236
      15 Loop 634521      3.04819     0.73753     3.04819     0.73753
      16 Loop 631524      3.69623     0.60822     3.04819     0.73753
      17 Loop 634125      3.40421     0.66040     3.04819     0.73753
      18 Loop 631425      3.43621     0.65425     3.04819     0.73753
      19 Loop 635412      3.82424     0.58787     3.04819     0.73753
      20 Loop 635142      3.84024     0.58542     3.04819     0.73753
      21 Loop 634512      3.65623     0.61488     3.04819     0.73753
      22 Loop 631542      3.79624     0.59220     3.04819     0.73753
      23 Loop 634152      3.87224     0.58058     3.04819     0.73753
      24 Loop 631452      3.88425     0.57878     3.04819     0.73753
      25 Loop 623541      3.08019     0.72987     3.04819     0.73753
      26 Loop 623514      3.46422     0.64896     3.04819     0.73753
      27 Loop 623451      3.37621     0.66588     3.04819     0.73753
      28 Loop 623154      3.38021     0.66509     3.04819     0.73753
      29 Loop 623415      3.25220     0.69127     3.04819     0.73753
      30 Loop 623145      3.13619     0.71684     3.04819     0.73753
      31 Loop 653241      3.22020     0.69814     3.04819     0.73753
      32 Loop 653214      3.96025     0.56768     3.04819     0.73753
      33 Loop 643251      3.71223     0.60560     3.04819     0.73753
      34 Loop 613254      4.95631     0.45359     3.04819     0.73753
