transpose           best loop order
1234                1234
1243                1243
1324                1234
1342                1342
1423                1234
1432                1432
2134                1234
2143                2143
2314                2314
2341                2314
2413                2134
2431                2431
3124                1234
3142                1342
3214                2134
3241                2314
3412                1342
3421                2341
4123                1243
4132                1432
4213                2143
4231                2431
4312                3142
4321                2431
